2026-05-15 19:37:36 [INFO] [API] GET /users/1/profile 200 1ms user=2
2026-05-15 19:37:36 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:37:36 [INFO] [API] GET /friends/online 200 1ms user=2
2026-05-15 19:37:38 [INFO] [API] GET /auth/profile 304 3ms user=2
2026-05-15 19:37:38 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:37:38 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:37:38 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:37:38 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:37:49 [INFO] [API] PUT /auth/profile 200 1ms user=2
2026-05-15 19:37:52 [INFO] [API] POST /logout 200 1ms
2026-05-15 19:37:52 [WARN] [API] GET /levels/me 401 1ms
2026-05-15 19:37:58 [INFO] [API] POST /login 200 76ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /zone-access/work 304 2ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /zone-access/chat 304 2ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:37:58 [INFO] [API] GET / 304 2ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /zone-access/music 304 0ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /levels/me 304 1ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /notifications/unread-count 304 0ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /zone-access/music 304 0ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:37:58 [INFO] [API] GET / 304 2ms user=2
2026-05-15 19:37:58 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:37:59 [INFO] [API] GET /auth/profile 200 2ms user=2
2026-05-15 19:37:59 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:37:59 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:37:59 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:37:59 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:38:07 [INFO] [API] PUT /password 200 149ms user=2
2026-05-15 19:38:10 [INFO] [API] PUT /auth/profile 200 1ms user=2
2026-05-15 19:38:12 [INFO] [API] POST /logout 200 1ms
2026-05-15 19:38:12 [WARN] [API] GET /levels/me 401 1ms
2026-05-15 19:38:15 [WARN] [API] POST /login 401 108ms
2026-05-15 19:38:17 [INFO] [API] POST /login 200 69ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /zone-access/work 304 2ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /zone-access/chat 304 3ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /zone-access/music 304 4ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /notifications/unread-count 304 4ms user=2
2026-05-15 19:38:17 [INFO] [API] GET / 304 2ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /levels/me 304 1ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /friend-requests 304 2ms user=2
2026-05-15 19:38:17 [INFO] [API] GET / 304 1ms user=2
2026-05-15 19:38:17 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /40 304 5ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /notifications/unread-count 304 4ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /zone-access/music 304 4ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /levels/me 304 5ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /bookmarks/check/40 304 3ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /posts/40/comments 304 2ms user=2
2026-05-15 19:38:18 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /music/songs 304 2ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /music/playlists 304 1ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:38:23 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 2ms user=2
2026-05-15 19:38:53 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:38:53 [INFO] [API] GET /friend-requests 304 1ms user=2
